Material,Use,Su,Sy,E,G,mu,Ro
ANSI Steel SAE 1137 as-rolled,Yes,627,379,207000,79000,0.3,7860
ANSI Steel SAE 1137 normalized,Yes,669,396,207000,79000,0.3,7860
ANSI Steel SAE 1137 annealed,Yes,584,345,207000,79000,0.3,7860
ANSI Steel SAE 1137 tempered at 400 F,No,1082,938,207000,79000,0.3,7860
ANSI Steel SAE 1141 as-rolled,Yes,676,359,207000,79000,0.3,7860
ANSI Steel SAE 1141 normalized,No,707,405,207000,79000,0.3,7860
ANSI Steel SAE 1141 annealed,Yes,598,353,207000,79000,0.3,7860
ANSI Steel SAE 1141 tempered at 400 F,No,1634,1213,207000,79000,0.3,7860
ANSI Steel SAE 1144 as-rolled,No,703,421,207000,79000,0.3,7860
ANSI Steel SAE 1144 normalized,Yes,667,400,207000,79000,0.3,7860
ANSI Steel SAE 1144 annealed,Yes,584,346,207000,79000,0.3,7860
ANSI Steel SAE 1144 tempered at 400 F,No,876,627,207000,79000,0.3,7860
ANSI Steel SAE 1340 normalized,No,836,558,207000,79000,0.3,7860
ANSI Steel SAE 1340 annealed,No,703,436,207000,79000,0.3,7860
ANSI Steel SAE 1340 tempered at 400 F,No,1806,1593,207000,79000,0.3,7860
ANSI Steel SAE 3140 normalized,No,891,600,207000,79000,0.3,7860
ANSI Steel SAE 3140 annealed,No,689,422,207000,79000,0.3,7860
ANSI Steel SAE 4037 tempered at 400 F,No,1027,758,207000,79000,0.3,7860
ANSI Steel SAE 4042 tempered at 400 F,No,1800,1662,207000,79000,0.3,7860
ANSI Steel SAE 4130 normalized,Yes,669,436,207000,79000,0.3,7860
ANSI Steel SAE 4130 annealed,Yes,560,360,207000,79000,0.3,7860
ANSI Steel SAE 4130 tempered at 400 F,No,1627,1462,207000,79000,0.3,7860
ANSI Steel SAE 4140 normalized,No,1020,655,207000,79000,0.3,7860
ANSI Steel SAE 4140 annealed,Yes,655,417,207000,79000,0.3,7860
ANSI Steel SAE 4140 tempered at 400 F,No,1772,1641,207000,79000,0.3,7860
ANSI Steel SAE 4150 normalized,No,1155,734,207000,79000,0.3,7860
ANSI Steel SAE 4150 annealed,No,729,379,207000,79000,0.3,7860
ANSI Steel SAE 4150 tempered at 400 F,No,1931,1724,207000,79000,0.3,7860
ANSI Steel SAE 4320 normalized,No,793,464,207000,79000,0.3,7860
ANSI Steel SAE 4320 annealed,Yes,579,425,207000,79000,0.3,7860
ANSI Steel SAE 4340 normalized,No,1279,862,207000,79000,0.3,7860
ANSI Steel SAE 4340 annealed,No,745,472,207000,79000,0.3,7860
ANSI Steel SAE 4340 tempered at 400 F,No,1875,1675,207000,79000,0.3,7860
ANSI Steel SAE 4620 normalized,Yes,574,366,207000,79000,0.3,7860
ANSI Steel SAE 4620 annealed,Yes,512,372,207000,79000,0.3,7860
ANSI Steel SAE 4820 normalized,No,755,484,207000,79000,0.3,7860
ANSI Steel SAE 4820 annealed,Yes,681,464,207000,79000,0.3,7860
ANSI Steel SAE 5046 tempered at 400 F,No,1744,1407,207000,79000,0.3,7860
ANSI Steel SAE 5130 tempered at 400 F,No,1613,1517,207000,79000,0.3,7860
ANSI Steel SAE 5140 normalized,No,793,472,207000,79000,0.3,7860
ANSI Steel SAE 5140 annealed,Yes,572,293,207000,79000,0.3,7860
ANSI Steel SAE 5140 tempered at 400 F,No,1793,1641,207000,79000,0.3,7860
ANSI Steel SAE 5150 normalized,No,870,529,207000,79000,0.3,7860
ANSI Steel SAE 5150 annealed,Yes,676,357,207000,79000,0.3,7860
ANSI Steel SAE 5150 tempered at 400 F,No,1944,1731,207000,79000,0.3,7860
ANSI Steel SAE 5160 normalized,No,957,531,207000,79000,0.3,7860
ANSI Steel SAE 5160 annealed,No,722,276,207000,79000,0.3,7860
ANSI Steel SAE 5160 tempered at 400 F,No,2220,1793,207000,79000,0.3,7860
ANSI Steel SAE 6150 normalized,No,939,615,207000,79000,0.3,7860
ANSI Steel SAE 6150 annealed,Yes,667,412,207000,79000,0.3,7860
ANSI Steel SAE 6150 tempered at 400 F,No,1931,1689,207000,79000,0.3,7860
ANSI Steel SAE 8620 normalized,Yes,633,357,207000,79000,0.3,7860
ANSI Steel SAE 8620 annealed,Yes,536,385,207000,79000,0.3,7860
ANSI Steel SAE 8630 normalized,Yes,650,429,207000,79000,0.3,7860
ANSI Steel SAE 8630 annealed,Yes,564,372,207000,79000,0.3,7860
ANSI Steel SAE 8630 tempered at 400 F,No,1641,1503,207000,79000,0.3,7860
ANSI Steel SAE 8640 tempered at 400 F,No,1862,1669,207000,79000,0.3,7860
ANSI Steel SAE 8650 normalized,No,1024,688,207000,79000,0.3,7860
ANSI Steel SAE 8650 annealed,No,715,386,207000,79000,0.3,7860
ANSI Steel SAE 8650 tempered at 400 F,No,1937,1675,207000,79000,0.3,7860
ANSI Steel SAE 8660 tempered at 800 F,No,1634,1551,207000,79000,0.3,7860
ANSI Steel SAE 8740 normalized,No,929,607,207000,79000,0.3,7860
ANSI Steel SAE 8740 annealed,No,695,415,207000,79000,0.3,7860
ANSI Steel SAE 8740 tempered at 400 F,No,1999,1655,207000,79000,0.3,7860
ANSI Steel SAE 9255 normalized,No,933,579,207000,79000,0.3,7860
ANSI Steel SAE 9255 annealed,No,774,486,207000,79000,0.3,7860
ANSI Steel SAE 9255 tempered at 400 F,No,2103,2048,207000,79000,0.3,7860
ANSI Steel SAE 9260 tempered at 800 F,No,1758,1503,207000,79000,0.3,7860
ANSI Steel SAE 9310 normalized,No,907,571,207000,79000,0.3,7860
ANSI Steel SAE 9310 annealed,No,820,440,207000,79000,0.3,7860
ANSI Steel SAE 30201 annealed,No,793,379,193000,743000,0.3,8030
ANSI Steel SAE 30201 1/4-hard,No,862,517,193000,743000,0.3,8030
ANSI Steel SAE 30201 1/2-hard,No,1034,758,193000,743000,0.3,8030
ANSI Steel SAE 30201 3/4-hard,No,1207,931,193000,743000,0.3,8030
ANSI Steel SAE 30201 Full-hard,No,1276,965,193000,743000,0.3,8030
ANSI Steel SAE 30202 annealed,No,724,379,193000,743000,0.3,8030
ANSI Steel SAE 30202 1/4-hard,No,862,517,193000,743000,0.3,8030
ANSI Steel SAE 30301 annealed,No,758,276,193000,743000,0.3,8030
ANSI Steel SAE 30301 1/4-hard,No,862,517,193000,743000,0.3,8030
ANSI Steel SAE 30301 1/2-hard,No,1034,758,193000,743000,0.3,8030
ANSI Steel SAE 30301 3/4-hard,No,1207,931,193000,743000,0.3,8030
ANSI Steel SAE 30301 Full-hard,No,1276,965,193000,743000,0.3,8030
ANSI Steel SAE 30302 annealed,No,621,255,193000,743000,0.3,8030
ANSI Steel SAE 30302 1/4-hard,No,862,517,193000,743000,0.3,8030
ANSI Steel SAE 30302B annealed,No,655,276,193000,743000,0.3,8030
ANSI Steel SAE 30303 annealed,No,621,241,193000,743000,0.3,8030
ANSI Steel SAE 30304 annealed,No,586,241,193000,743000,0.3,8030
ANSI Steel SAE 30304L annealed,No,552,207,193000,743000,0.3,8030
ANSI Steel SAE 30305 annealed,No,586,255,193000,743000,0.3,8030
ANSI Steel SAE 30308 annealed,No,586,241,193000,743000,0.3,8030
ANSI Steel SAE 30309 annealed,No,621,276,193000,743000,0.3,8030
ANSI Steel SAE 30310 annealed,No,655,276,193000,743000,0.3,8030
ANSI Steel SAE 30314 annealed,No,689,345,193000,743000,0.3,8030
ANSI Steel SAE 30316 annealed,No,586,241,193000,743000,0.3,8030
ANSI Steel SAE 30316L annealed,No,538,207,193000,743000,0.3,8030
ANSI Steel SAE 30317 annealed,No,621,276,193000,743000,0.3,8030
ANSI Steel SAE 30321 annealed,No,600,241,193000,743000,0.3,8030
ANSI Steel SAE 30347 annealed,No,634,241,193000,743000,0.3,8030
ANSI Steel SAE 30348 annealed,No,634,241,193000,743000,0.3,8030
ANSI Steel SAE 51403 annealed,No,517,276,200000,769000,0.3,8030
ANSI Steel SAE 51403 tempered at 400 F,No,1310,1000,200000,769000,0.3,8030
ANSI Steel SAE 51405 annealed,No,483,276,200000,769000,0.3,8030
ANSI Steel SAE 51410 annealed,No,517,276,200000,769000,0.3,8030
ANSI Steel SAE 51410 tempered at 400 F,No,1310,1000,200000,769000,0.3,8030
ANSI Steel SAE 51414 annealed,No,827,655,200000,769000,0.3,8030
ANSI Steel SAE 51414 tempered at 400 F,No,1379,1034,200000,769000,0.3,8030
ANSI Steel SAE 51416 annealed,No,517,276,200000,769000,0.3,8030
ANSI Steel SAE 51416 tempered at 400 F,No,1310,1000,200000,769000,0.3,8030
ANSI Steel SAE 51420 annealed,No,655,345,200000,769000,0.3,8030
ANSI Steel SAE 51420 tempered at 600 F,No,1586,1344,200000,769000,0.3,8030
ANSI Steel SAE 51430 annealed,No,517,310,200000,769000,0.3,8030
ANSI Steel SAE 51430F annealed,No,552,379,200000,769000,0.3,8030
ANSI Steel SAE 51431 annealed,No,862,655,200000,769000,0.3,8030
ANSI Steel SAE 51431 tempered at 400 F,No,1413,1069,200000,769000,0.3,8030
ANSI Steel SAE 51440A annealed,No,724,414,200000,769000,0.3,8030
ANSI Steel SAE 51440A tempered at 600 F,No,1793,1655,200000,769000,0.3,8030
ANSI Steel SAE 51440C annealed,No,758,448,200000,769000,0.3,8030
ANSI Steel SAE 51440C tempered at 600 F,No,1965,1896,200000,769000,0.3,8030
ANSI Steel SAE 51446 annealed,No,552,345,200000,769000,0.3,8030
ANSI Steel SAE 51501 annealed,No,483,207,200000,769000,0.3,8030
ANSI Steel SAE 51502 annealed,No,483,207,200000,769000,0.3,8030
ANSI Grey cast iron class 20,No,138,138,80000,32000,0.25,7160
ANSI Grey cast iron class 25,No,172,172,98000,39000,0.25,7160
ANSI Grey cast iron class 30,No,207,207,100000,40000,0.25,7160
ANSI Grey cast iron class 35,No,241,241,110000,44000,0.25,7160
ANSI Grey cast iron class 40,No,276,276,117000,47000,0.25,7160
ANSI Grey cast iron class 50,No,345,345,124000,50000,0.25,7160
ANSI Grey cast iron class 60,No,414,414,137000,55000,0.25,7160
ANSI Malleable cast iron,No,276,207,172000,68000,0.27,7160
ANSI Malleable cast iron,No,414,317,172000,68000,0.27,7160
ANSI Malleable cast iron,No,552,427,172000,68000,0.27,7160
ANSI Malleable cast iron,No,689,538,172000,68000,0.27,7160
ANSI Nodular cast iron,No,414,276,159000,66000,0.2,7160
ANSI Nodular cast iron,No,552,365,159000,66000,0.2,7160
ANSI Nodular cast iron,No,689,455,159000,66000,0.2,7160
ANSI Nodular cast iron,No,827,552,159000,66000,0.2,7160
ANSI Copper Alloy C80100,No,172,62,108000,40000,0.35,8930
ANSI High-Copper Alloy C81300,No,365,248,108000,40000,0.35,8930
ANSI High-Copper Alloy C81500,No,352,276,108000,40000,0.35,8930
ANSI High-Copper Alloy C81700,No,634,469,108000,40000,0.35,8930
ANSI Red brass C83300,No,221,69,100000,37000,0.34,8500
ANSI Red brass C83400,No,241,69,100000,37000,0.34,8500
ANSI Red brass C83600,No,255,117,100000,37000,0.34,8500
ANSI Red brass C83800,No,241,110,100000,37000,0.34,8500
ANSI Semi-red Brass C84200,No,241,97,100000,37000,0.34,8500
ANSI Semi-red Brass C84400,No,234,97,100000,37000,0.34,8500
ANSI Semi-red Brass C84500,No,241,97,100000,37000,0.34,8500
ANSI Semi-red Brass C84800,No,241,97,100000,37000,0.34,8500
ANSI Yellow Brass C85200,No,262,90,100000,37000,0.34,8500
ANSI Yellow Brass C85400,No,234,83,100000,37000,0.34,8500
ANSI Yellow Brass C85500,No,414,159,100000,37000,0.34,8500
ANSI Yellow Brass C85700,No,345,124,100000,37000,0.34,8500
ANSI Yellow Brass C85800,No,379,207,100000,37000,0.34,8500
ANSI Manganese Bronze C86100,No,655,345,120000,45000,0.31,8800
ANSI Manganese Bronze C86200,No,655,331,120000,45000,0.31,8800
ANSI Manganese Bronze C86300,No,793,572,120000,45000,0.31,8800
ANSI Manganese Bronze C86400,No,448,172,120000,45000,0.31,8800
ANSI Manganese Bronze C86500,No,490,193,120000,45000,0.31,8800
ANSI Manganese Bronze C86700,No,586,290,120000,45000,0.31,8800
ANSI Manganese Bronze C86800,No,565,262,120000,45000,0.31,8800
ANSI Silicon Brass C87200,No,379,172,120000,45000,0.31,8800
ANSI Silicon Bronze C87400,No,379,165,120000,45000,0.31,8800
ANSI Silicon Bronze C87500,No,462,207,120000,45000,0.31,8800
ANSI Silicon Bronze C87600,No,455,221,120000,45000,0.31,8800
ANSI Silicon Bronze C87800,No,586,345,120000,45000,0.31,8800
ANSI Silicon Bronze C87900,No,483,241,120000,45000,0.31,8800
ANSI Tin Bronze C90200,No,262,110,120000,45000,0.31,8800
ANSI Tin Bronze C90300,No,310,145,120000,45000,0.31,8800
ANSI Tin Bronze C90500,No,310,152,120000,45000,0.31,8800
ANSI Tin Bronze C90700,No,303,152,120000,45000,0.31,8800
ANSI Tin Bronze C90900,No,276,138,120000,45000,0.31,8800
ANSI Tin Bronze C91000,No,221,172,120000,45000,0.31,8800
ANSI Tin Bronze C91100,No,241,172,120000,45000,0.31,8800
ANSI Tin Bronze C91300,No,241,207,120000,45000,0.31,8800
ANSI Tin Bronze C91600,No,303,152,120000,45000,0.31,8800
ANSI Tin Bronze C91700,No,303,152,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92200,No,276,138,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92300,No,276,138,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92500,No,303,138,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92600,No,303,138,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92700,No,290,145,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92800,No,276,207,120000,45000,0.31,8800
ANSI Leaded Tin Bronze C92900,No,324,179,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93200,No,241,124,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93400,No,221,110,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93500,No,221,110,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93700,No,241,124,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93800,No,207,110,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C93900,No,221,152,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C94300,No,186,90,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C94400,No,221,110,120000,45000,0.31,8800
ANSI High Leaded Tin Bronze C94500,No,172,83,120000,45000,0.31,8800
ANSI Nickel-Tin Bronze C94700,No,345,159,120000,45000,0.31,8800
ANSI Nickel-Tin Bronze C94800,No,310,159,120000,45000,0.31,8800
ANSI Aluminum Bronze C95200,No,552,186,120000,45000,0.32,8800
ANSI Aluminum Bronze C95300,No,517,186,120000,45000,0.32,8800
ANSI Aluminum Bronze C95400,No,586,241,120000,45000,0.32,8800
ANSI Aluminum Bronze C95500,No,689,303,120000,45000,0.32,8800
ANSI Aluminum Bronze C95600,No,517,234,120000,45000,0.32,8800
ANSI Aluminum Bronze C95700,No,655,310,120000,45000,0.32,8800
ANSI Aluminum Bronze C95800,No,655,262,120000,45000,0.32,8800
ANSI Copper-Nickel C96200,No,310,172,100000,37000,0.34,8500
ANSI Copper-Nickel C96300,No,517,379,100000,37000,0.34,8500
ANSI Copper-Nickel C96400,No,469,255,100000,37000,0.34,8500
ANSI Copper-Nickel C96600,No,758,483,100000,37000,0.34,8500
ANSI Nickel Silver C97300,No,241,117,100000,37000,0.34,8500
ANSI Nickel Silver C97400,No,262,117,100000,37000,0.34,8500
ANSI Nickel Silver C97600,No,310,165,100000,37000,0.34,8500
ANSI Nickel Silver C97800,No,379,207,100000,37000,0.34,8500
ANSI Special Alloy C99300,No,655,379,100000,37000,0.34,8500
ANSI Special Alloy C99400,No,455,234,100000,37000,0.34,8500
ANSI Special Alloy C99500,No,483,276,100000,37000,0.34,8500
ANSI Special Alloy C99700,No,379,172,100000,37000,0.34,8500
ANSI Special Alloy C99750,No,448,221,100000,37000,0.34,8500
ANSI Copper Alloy C10100,No,221,69,108000,40000,0.35,8930
ANSI Copper Alloy C15000,No,200,41,108000,40000,0.35,8930
ANSI Copper Alloy C15500,No,276,124,108000,40000,0.35,8930
ANSI Copper Alloy C15715,No,359,303,108000,40000,0.35,8930
ANSI Copper Alloy C15720,No,441,372,108000,40000,0.35,8930
ANSI Copper Alloy C15760,No,483,448,108000,40000,0.35,8930
ANSI Copper Alloy C16200,No,241,48,108000,40000,0.35,8930
ANSI Copper Alloy C16500,No,276,97,108000,40000,0.35,8930
ANSI Copper Alloy C17000,No,483,221,108000,40000,0.35,8930
ANSI Copper Alloy C17300,No,469,172,108000,40000,0.35,8930
ANSI Copper Alloy C17500,No,310,172,108000,40000,0.35,8930
ANSI Copper Alloy C18200,No,234,97,108000,40000,0.35,8930
ANSI Copper Alloy C18900,No,262,62,108000,40000,0.35,8930
ANSI Copper Alloy C19000,No,262,138,108000,40000,0.35,8930
ANSI Copper Alloy C19100,No,248,69,108000,40000,0.35,8930
ANSI Copper Alloy C19200,No,255,76,108000,40000,0.35,8930
ANSI Copper Alloy C19400,No,310,165,108000,40000,0.35,8930
ANSI Copper Alloy C19500,No,552,448,108000,40000,0.35,8930
ANSI Copper Alloy C21000,No,234,69,108000,40000,0.35,8930
ANSI Commercial bronze C22000,No,255,69,105000,40000,0.32,8800
ANSI Red brass C23000,No,269,69,105000,40000,0.32,8800
ANSI Low brass C24000,No,290,83,105000,40000,0.32,8800
ANSI Cartridge brass C26000,No,303,76,105000,40000,0.32,8800
ANSI Yellow brass C26800,No,317,97,105000,40000,0.32,8800
ANSI Muntz metal C28000,No,372,145,105000,40000,0.32,8800
ANSI Leaded commercial bronze C31400,No,255,83,105000,40000,0.32,8800
ANSI Low-leaded brass C33000,No,324,103,105000,40000,0.32,8800
ANSI High-leaded brass C34200,No,338,117,105000,40000,0.32,8800
ANSI Medium-leaded brass C35000,No,310,90,105000,40000,0.32,8800
ANSI Leaded Muntz metal C36500 As hot rolled,No,372,138,105000,40000,0.32,8800
ANSI Architectural bronze C38500 As extruded,No,414,138,105000,40000,0.32,8800
ANSI Copper Alloy C40500,No,269,83,105000,40000,0.32,8800
ANSI Copper Alloy C40800,No,290,90,105000,40000,0.32,8800
ANSI Copper Alloy C41100,No,269,76,105000,40000,0.32,8800
ANSI Copper Alloy C41300,No,283,83,105000,40000,0.32,8800
ANSI Copper Alloy C41500,No,317,117,105000,40000,0.32,8800
ANSI Copper Alloy C42200,No,296,103,105000,40000,0.32,8800
ANSI Copper Alloy C42500,No,310,124,105000,40000,0.32,8800
ANSI Copper Alloy C43000,No,317,124,105000,40000,0.32,8800
ANSI Copper Alloy C43400,No,310,103,105000,40000,0.32,8800
ANSI Copper Alloy C43500,No,317,110,105000,40000,0.32,8800
ANSI Copper Alloy C44300,No,331,124,105000,40000,0.32,8800
ANSI Copper Alloy C46400,No,379,172,105000,40000,0.32,8800
ANSI Copper Alloy C48200,No,386,172,105000,40000,0.32,8800
ANSI Copper Alloy C48500,No,393,172,105000,40000,0.32,8800
ANSI Copper Alloy C50500,No,276,97,105000,40000,0.32,8800
ANSI Copper Alloy C51000,No,324,131,105000,40000,0.32,8800
ANSI Copper Alloy C51100,No,317,345,105000,40000,0.32,8800
ANSI Copper Alloy C52100,No,379,165,105000,40000,0.32,8800
ANSI Copper Alloy C52400,No,455,193,105000,40000,0.32,8800
ANSI Copper Alloy C54400,No,303,131,105000,40000,0.32,8800
ANSI Copper Alloy C60800,No,414,186,105000,40000,0.32,8800
ANSI Copper Alloy C61000,No,359,117,105000,40000,0.32,8800
ANSI Copper Alloy C61300,No,483,207,105000,40000,0.32,8800
ANSI Copper Alloy C61400,No,524,228,105000,40000,0.32,8800
ANSI Copper Alloy C61500,No,483,152,105000,40000,0.32,8800
ANSI Copper Alloy C61800,No,552,269,105000,40000,0.32,8800
ANSI Copper Alloy C61900,No,634,338,105000,40000,0.32,8800
ANSI Copper Alloy C62300,No,517,241,105000,40000,0.32,8800
ANSI Copper Alloy C62400,No,621,276,105000,40000,0.32,8800
ANSI Copper Alloy C62500 As extruded,No,689,379,105000,40000,0.32,8800
ANSI Copper Alloy C63000,No,621,345,105000,40000,0.32,8800
ANSI Copper Alloy C63200,No,621,310,105000,40000,0.32,8800
ANSI Copper Alloy C63800,No,565,372,105000,40000,0.32,8800
ANSI Copper Alloy C64200,No,517,241,105000,40000,0.32,8800
ANSI Copper Alloy C65100,No,276,103,105000,40000,0.32,8800
ANSI Copper Alloy C65500,No,386,145,105000,40000,0.32,8800
ANSI Copper Alloy C66700,No,316,83,105000,40000,0.32,8800
ANSI Copper Alloy C67400,No,483,234,105000,40000,0.32,8800
ANSI Copper Alloy C67500,No,448,207,105000,40000,0.32,8800
ANSI Copper Alloy C68700,No,414,186,105000,40000,0.32,8800
ANSI Copper Alloy C68800,No,565,379,105000,40000,0.32,8800
ANSI Copper Alloy C69000,No,565,359,105000,40000,0.32,8800
ANSI Copper Alloy C69400,No,552,276,105000,40000,0.32,8800
ANSI Copper Alloy C70400,No,262,276,105000,40000,0.32,8800
ANSI Copper Alloy C70600,No,303,110,105000,40000,0.32,8800
ANSI Copper Alloy C71000,No,338,90,105000,40000,0.32,8800
ANSI Copper Alloy C71500,No,372,138,105000,40000,0.32,8800
ANSI Copper Alloy C72200,No,317,124,105000,40000,0.32,8800
ANSI Copper Alloy C72500,No,379,152,105000,40000,0.32,8800
ANSI Copper Alloy C73500,No,345,103,105000,40000,0.32,8800
ANSI Copper Alloy C74500,No,338,124,105000,40000,0.32,8800
ANSI Copper Alloy C75200,No,386,172,105000,40000,0.32,8800
ANSI Copper Alloy C75400,No,365,124,105000,40000,0.32,8800
ANSI Copper Alloy C75700,No,359,124,105000,40000,0.32,8800
ANSI Copper Alloy C76390,No,621,586,105000,40000,0.32,8800
ANSI Copper Alloy C77000,No,414,186,105000,40000,0.32,8800
ANSI Copper Alloy C78200,No,365,159,105000,40000,0.32,8800
ANSI Aluminum Alloy 201.0 Cast (T7),No,414,345,73000,26000,0.33,2700
ANSI Aluminum Alloy 204.0 Cast (T4),No,310,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 208.0 Cast (F),No,131,83,73000,26000,0.33,2700
ANSI Aluminum Alloy 242.0 Cast (T61),No,221,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 242.0 Cast (T77),No,165,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 295.0 Cast (T4),No,200,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 295.0 Cast (T6),No,221,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 295.0 Cast (T62),No,248,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 295.0 Cast (T7),No,200,110,73000,26000,0.33,2700
ANSI Aluminum Alloy 319.0 Cast (F),No,159,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 319.0 Cast (T6),No,214,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 328.0 Cast (F),No,172,97,73000,26000,0.33,2700
ANSI Aluminum Alloy 328.0 Cast (T6),No,234,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 355.0 Cast (T51),No,172,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 355.0 Cast (T6),No,221,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 355.0 Cast (T71),No,207,152,73000,26000,0.33,2700
ANSI Aluminum Alloy C355.0 Cast (T6),No,248,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 356.0 Cast (T51),No,159,110,73000,26000,0.33,2700
ANSI Aluminum Alloy 356.0 Cast (T6),No,207,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 356.0 Cast (T7),No,214,200,73000,26000,0.33,2700
ANSI Aluminum Alloy 356.0 Cast (T71),No,172,124,73000,26000,0.33,2700
ANSI Aluminum Alloy A356.0 Cast (T6),No,234,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 443.0 Cast (F),No,117,48,73000,26000,0.33,2700
ANSI Aluminum Alloy B443.0 Cast (F),No,117,41,73000,26000,0.33,2700
ANSI Aluminum Alloy 512.0 Cast (F),No,117,69,73000,26000,0.33,2700
ANSI Aluminum Alloy 514.0 Cast (F),No,152,62,73000,26000,0.33,2700
ANSI Aluminum Alloy 520.0 Cast (T4),No,290,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 535.0 Cast (F or T5),No,241,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 705.0 Cast (F or T5),No,207,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 707.0 Cast (T5),No,228,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 707.0 Cast (T7),No,255,207,73000,26000,0.33,2700
